Estudo; Renda;UF;SEXO;Idade;Altura
12;R$ 2.550;MG;M;35;1,90
6;R$ 60;MA;F;34;1,90
16;R$ 9.000;CE;M;66;1,90
12;R$ 788;SC;M;30;1,90
12;R$ 4.000;PR;F;64;1,90
16;R$ 2.000;SP;M;46;1,90
4;R$ 600;BA;M;31;1,90
1;R$ 600;SE;M;52;1,90
12;R$ 1.500;SP;M;49;1,90
13;R$ 2.000;PE;F;43;1,90
12;R$ 1.500;RS;F;34;1,90
12;R$ 700;BA;M;36;1,90
1;R$ 800;MT;M;68;1,90
4;R$ 750;PA;M;37;1,90
7;R$ 1.300;RS;M;32;1,90
5;R$ 1.000;PE;M;33;1,90
7;R$ 1.150;RS;M;32;1,90
7;R$ 1.500;SP;M;37;1,90
15;R$ 1.900;SP;F;50;1,90
12;R$ 1.600;MS;M;28;1,90
1;R$ 600;SE;M;43;1,90
10;R$ 1.080;SE;M;45;1,90
14;R$ 1.500;CE;M;49;1,90
8;R$ 3.000;RS;M;60;1,90
12;R$ 300;PE;F;55;1,89
12;R$ 500;SE;F;63;1,89
9;R$ 3.500;RJ;M;53;1,89
8;R$ 1.000;MA;F;33;1,89
5;R$ 3.000;MA;M;73;1,89
5;R$ 750;MG;M;49;1,89
12;R$ 800;BA;M;28;1,89
12;R$ 3.000;MS;F;31;1,89
16;R$ 4.500;BA;F;36;1,89
8;R$ 945;MG;F;47;1,89
12;R$ 2.000;BA;F;48;1,89
16;R$ 5.000;SP;M;31;1,89
9;R$ 1.400;SP;M;35;1,89
11;R$ 1.600;SC;M;53;1,89
6;R$ 1.000;SP;F;40;1,89
1;R$ 1.100;BA;M;30;1,89
12;R$ 1.500;RJ;F;30;1,89
1;R$ 1.100;CE;M;46;1,89
12;R$ 1.200;SP;M;51;1,89
12;R$ 2.700;PR;M;28;1,89
14;R$ 3.000;PE;M;42;1,89
12;R$ 2.100;RJ;M;47;1,89
9;R$ 1.400;GO;M;57;1,89
15;R$ 2.200;BA;M;40;1,89
13;R$ 1.000;MG;F;42;1,89
16;R$ 1.600;AC;F;47;1,89
9;R$ 300;MT;F;29;1,89
9;R$ 1.500;GO;M;47;1,89
12;R$ 2.500;MG;M;39;1,89
16;R$ 5.000;MG;M;41;1,89
14;R$ 2.400;CE;M;52;1,89
12;R$ 1.400;GO;M;34;1,89
5;R$ 1.070;RJ;M;61;1,89
1;R$ 1.500;GO;M;66;1,89
15;R$ 4.000;BA;F;54;1,89
16;R$ 3.000;TO;M;41;1,89
12;R$ 2.500;RJ;M;36;1,89
12;R$ 900;SE;F;24;1,89
5;R$ 2.000;RO;M;59;1,89
12;R$ 1.100;PE;M;48;1,89
12;R$ 788;MG;M;23;1,89
12;R$ 2.100;SP;M;42;1,89
12;R$ 2.300;ES;M;39;1,89
4;R$ 100;GO;F;54;1,89
5;R$ 1.100;RS;M;51;1,89
12;R$ 1.500;TO;M;49;1,89
1;R$ 400;BA;M;34;1,89
5;R$ 900;CE;F;50;1,89
17;R$ 250;AP;M;44;1,89
12;R$ 3.000;MT;M;51;1,89
1;R$ 1.000;MT;M;36;1,89
12;R$ 1.000;AL;M;49;1,89
5;R$ 2.100;SP;M;53;1,89
12;R$ 788;PA;M;30;1,89
16;R$ 2.300;AL;F;39;1,89
16;R$ 30.000;MT;M;38;1,89
