TEMPO_ESTUDO;RENDA;UF;GENERO;IDADE;ALTURA;faixa idade;Região
11;1200;RS;M;48;1,64;adulto;Sul
16;2000;PA;M;37;1,64;Jovem adulto;Norte
16;500;PA;F;32;1,64;Jovem adulto;Norte
12;1300;PA;M;43;1,64;Jovem adulto;Norte
8;980;RJ;M;41;1,64;Jovem adulto;Sudeste
16;4000;CE;M;44;1,64;Jovem adulto;Nordeste
5;850;RJ;F;32;1,64;Jovem adulto;Sudeste
6;1500;RO;M;29;1,64;Jovem adulto;Norte
1;100;RN;F;49;1,64;adulto;Nordeste
1;900;PR;F;46;1,64;adulto;Sul
5;788;RJ;M;52;1,64;adulto;Sudeste
9;1200;ES;M;50;1,64;adulto;Sudeste
11;2000;GO;F;54;1,64;adulto;Centro-Oeste
1;1000;RO;M;67;1,64;idoso;Norte
12;2500;SP;M;50;1,64;adulto;Sudeste
16;5000;AL;M;31;1,64;Jovem adulto;Nordeste
1;300;CE;M;42;1,64;Jovem adulto;Nordeste
5;350;SP;F;70;1,64;idoso;Sudeste
12;850;BA;M;42;1,64;Jovem adulto;Nordeste
12;788;AC;F;40;1,64;Jovem adulto;Norte
1;900;MS;M;61;1,64;adulto;Centro-Oeste
16;4000;DF;M;50;1,64;adulto;Centro-Oeste
7;1000;PA;M;41;1,64;Jovem adulto;Norte
3;788;CE;M;50;1,64;adulto;Nordeste
7;2500;SP;M;63;1,64;adulto;Sudeste
1;1600;DF;M;46;1,64;adulto;Centro-Oeste
9;2000;PA;M;62;1,64;adulto;Norte
12;1500;BA;M;48;1,64;adulto;Nordeste
15;830;RJ;F;42;1,64;Jovem adulto;Sudeste
6;4000;GO;M;31;1,64;Jovem adulto;Centro-Oeste
16;3500;SP;M;43;1,64;Jovem adulto;Sudeste
12;1576;BA;F;50;1,64;adulto;Nordeste
11;1200;MG;M;33;1,64;Jovem adulto;Sudeste
12;400;CE;F;58;1,64;adulto;Nordeste
12;1800;AP;F;42;1,64;Jovem adulto;Norte
6;1200;PR;M;31;1,64;Jovem adulto;Sul
7;1500;RS;M;35;1,64;Jovem adulto;Sul
9;2200;PR;M;52;1,64;adulto;Sul
1;400;SE;M;56;1,64;adulto;Nordeste
5;700;MG;M;66;1,64;idoso;Sudeste
4;800;MG;M;40;1,64;Jovem adulto;Sudeste
12;2300;ES;F;47;1,64;adulto;Sudeste
12;1000;CE;F;28;1,64;Jovem adulto;Nordeste
3;600;BA;M;55;1,64;adulto;Nordeste
16;2000;SP;F;42;1,64;Jovem adulto;Sudeste
12;1400;CE;F;51;1,64;adulto;Nordeste
5;788;RO;M;26;1,64;Jovem adulto;Norte
12;9000;SP;M;35;1,64;Jovem adulto;Sudeste
3;1100;RS;M;50;1,64;adulto;Sul
6;150;BA;F;42;1,64;Jovem adulto;Nordeste
1;788;PB;M;18;1,64;Jovem adulto;Nordeste
10;788;PE;F;32;1,64;Jovem adulto;Nordeste
16;5000;RS;M;37;1,64;Jovem adulto;Sul
9;788;BA;F;36;1,64;Jovem adulto;Nordeste
16;300;BA;F;60;1,64;adulto;Nordeste
9;1200;MG;M;28;1,64;Jovem adulto;Sudeste
16;1576;PI;M;36;1,64;Jovem adulto;Nordeste
16;3500;RS;M;59;1,64;adulto;Sul
6;788;CE;F;61;1,64;adulto;Nordeste
12;3000;SP;M;29;1,64;Jovem adulto;Sudeste
16;4000;RJ;F;46;1,64;adulto;Sudeste
6;788;SE;F;53;1,64;adulto;Nordeste
5;1000;RN;M;18;1,64;Jovem adulto;Nordeste
12;2180;SE;M;45;1,64;adulto;Nordeste
5;1500;BA;M;65;1,64;idoso;Nordeste
16;1200;CE;F;40;1,64;Jovem adulto;Nordeste
12;1700;SP;M;31;1,64;Jovem adulto;Sudeste
5;788;GO;M;52;1,64;adulto;Centro-Oeste
16;3500;MG;F;43;1,64;Jovem adulto;Sudeste
1;500;PA;F;51;1,64;adulto;Norte
1;1112;PR;F;30;1,64;Jovem adulto;Sul
12;1200;TO;M;24;1,64;Jovem adulto;Norte
8;1800;SP;M;42;1,64;Jovem adulto;Sudeste
4;400;PA;M;51;1,64;adulto;Norte
1;820;DF;F;40;1,64;Jovem adulto;Centro-Oeste
12;3900;SP;M;44;1,64;Jovem adulto;Sudeste
6;1000;MG;M;37;1,64;Jovem adulto;Sudeste
13;2800;SP;F;46;1,64;adulto;Sudeste
1;788;RN;F;35;1,64;Jovem adulto;Nordeste
12;1000;BA;M;64;1,64;adulto;Nordeste
16;15000;PR;M;65;1,64;idoso;Sul
12;800;AP;F;30;1,64;Jovem adulto;Norte
8;950;MT;M;33;1,64;Jovem adulto;Centro-Oeste
10;1200;SP;F;37;1,64;Jovem adulto;Sudeste
9;800;RJ;F;59;1,64;adulto;Sudeste
16;2400;RJ;F;64;1,64;adulto;Sudeste
16;8000;SP;F;54;1,64;adulto;Sudeste
5;1250;RS;M;57;1,64;adulto;Sul
8;1300;GO;M;41;1,64;Jovem adulto;Centro-Oeste
16;800;RJ;F;49;1,64;adulto;Sudeste
16;788;PA;M;49;1,64;adulto;Norte
16;12000;RS;M;60;1,64;adulto;Sul
6;1300;SP;F;52;1,64;adulto;Sudeste
12;1900;SC;M;30;1,64;Jovem adulto;Sul
8;1500;MG;M;23;1,64;Jovem adulto;Sudeste
12;3500;SC;F;25;1,64;Jovem adulto;Sul
11;4500;PR;F;54;1,64;adulto;Sul
9;1300;SP;M;46;1,64;adulto;Sudeste
1;3200;MA;M;37;1,64;Jovem adulto;Nordeste
15;6000;PR;F;50;1,64;adulto;Sul
16;2300;SP;M;32;1,64;Jovem adulto;Sudeste
8;2500;RJ;M;47;1,64;adulto;Sudeste
12;950;PA;M;35;1,64;Jovem adulto;Norte
12;900;MG;F;25;1,64;Jovem adulto;Sudeste
6;1000;RJ;M;58;1,64;adulto;Sudeste
13;2000;SP;M;50;1,64;adulto;Sudeste
12;1300;RS;F;46;1,64;adulto;Sul
9;700;RS;M;29;1,64;Jovem adulto;Sul
12;1100;BA;M;49;1,64;adulto;Nordeste
10;600;PA;F;47;1,64;adulto;Norte
12;1083;SP;F;30;1,64;Jovem adulto;Sudeste
7;1600;RJ;M;28;1,64;Jovem adulto;Sudeste
16;6200;SE;M;52;1,64;adulto;Nordeste
12;700;TO;M;37;1,64;Jovem adulto;Norte
16;600;AC;M;31;1,64;Jovem adulto;Norte
16;7000;SP;M;37;1,64;Jovem adulto;Sudeste
9;1000;PE;M;30;1,64;Jovem adulto;Nordeste
9;1500;SP;M;31;1,64;Jovem adulto;Sudeste
5;1500;SC;M;54;1,64;adulto;Sul
1;600;AC;M;39;1,64;Jovem adulto;Norte
11;1000;GO;M;28;1,64;Jovem adulto;Centro-Oeste
12;788;BA;F;53;1,64;adulto;Nordeste
12;788;CE;F;42;1,64;Jovem adulto;Nordeste
6;4500;PI;M;39;1,64;Jovem adulto;Nordeste
