Estudo,Renda,UF,Genero,Idade,Altura
12,20000.0,AC,M,55,1.89
7,800.0,PA,M,38,1.89
16,900.0,AP,F,39,1.89
6,788.0,MG,F,41,1.89
9,250.0,RR,F,27,1.89
8,2000.0,RS,M,53,1.89
9,1600.0,MS,M,47,1.89
8,3000.0,GO,M,42,1.89
10,600.0,SP,M,31,1.89
5,1400.0,RJ,M,41,1.89
16,2200.0,PR,F,41,1.89
16,8000.0,SP,M,36,1.89
12,1700.0,MT,F,39,1.89
1,880.0,PE,M,38,1.89
4,350.0,CE,M,50,1.89
9,1000.0,RJ,M,31,1.89
16,1300.0,AP,F,63,1.89
5,1500.0,SC,M,41,1.89
14,1700.0,AP,M,23,1.89
5,1800.0,PR,M,34,1.89
14,8000.0,RS,M,36,1.89
16,1500.0,ES,F,34,1.89
16,4000.0,RS,M,53,1.89
7,2000.0,RO,M,62,1.89
12,3000.0,PR,M,36,1.89
1,300.0,RJ,F,62,1.89
14,2000.0,RO,M,33,1.89
12,788.0,RJ,F,36,1.89
12,788.0,SP,F,53,1.89
15,3000.0,PE,M,50,1.89
12,600.0,MG,M,75,1.89
15,12000.0,DF,M,36,1.89
2,480.0,BA,M,58,1.88
16,300.0,RS,F,73,1.88
5,2400.0,MT,M,47,1.88
16,1400.0,MG,M,60,1.88
12,600.0,AP,M,30,1.88
2,125.0,PI,M,51,1.88
12,1500.0,MT,M,30,1.88
7,600.0,RJ,M,59,1.88
12,1200.0,MG,M,40,1.88
6,1200.0,RS,M,21,1.88
12,3200.0,PE,M,50,1.88
12,1200.0,PA,M,59,1.88
8,700.0,SP,M,55,1.88
6,1576.0,GO,M,57,1.88
5,600.0,MG,F,70,1.88
5,400.0,SP,F,34,1.88
1,788.0,CE,M,62,1.88
13,1500.0,RS,M,39,1.88
14,2364.0,SP,M,46,1.88
1,1600.0,SC,M,63,1.88
12,1200.0,PA,M,47,1.88
12,1500.0,RJ,M,48,1.88
9,1400.0,PI,M,34,1.88
9,700.0,PA,F,57,1.88
5,1576.0,PA,M,52,1.88
1,1600.0,PE,M,50,1.88
9,600.0,PA,F,37,1.88
9,1500.0,MG,M,38,1.88
12,850.0,AP,M,28,1.88
15,2100.0,RS,M,29,1.88
1,788.0,SC,M,49,1.88
12,1200.0,MT,F,32,1.88
7,2500.0,MG,F,50,1.88
4,200.0,ES,F,51,1.88
9,788.0,PE,M,42,1.88
16,7000.0,MG,M,44,1.88
14,5000.0,PB,M,53,1.88
9,788.0,MG,F,20,1.88
12,2000.0,PA,M,53,1.88
12,2000.0,GO,M,30,1.88
4,2000.0,RO,M,40,1.88
7,360.0,BA,M,28,1.88
1,220.0,RN,F,50,1.88
16,3500.0,SC,M,45,1.88
4,2200.0,RJ,F,22,1.88
1,788.0,SE,M,53,1.88
16,12000.0,PR,M,73,1.88
15,2500.0,PR,M,33,1.88
8,1000.0,MA,M,17,1.88
16,10000.0,PB,F,38,1.88
5,1600.0,RS,M,45,1.88
9,900.0,MT,M,17,1.88
9,150.0,MA,F,58,1.88
10,1000.0,PR,M,49,1.88
5,1300.0,DF,M,63,1.88
5,1350.0,MS,F,50,1.88
16,2000.0,RJ,F,53,1.88
11,400.0,SP,F,32,1.88
1,3000.0,AC,M,65,1.88
5,850.0,MG,F,58,1.88
16,2000.0,SP,F,64,1.88
12,7000.0,RS,M,64,1.88
12,8000.0,RS,M,55,1.88
16,2100.0,GO,F,39,1.88
16,10000.0,GO,M,44,1.88
6,1300.0,RO,M,40,1.88
12,788.0,RJ,F,42,1.88
16,3000.0,RJ,F,38,1.88
12,970.0,MG,F,40,1.88
5,1200.0,RS,F,48,1.88
1,788.0,MA,M,44,1.88
8,3600.0,SC,M,50,1.88
6,1500.0,PR,M,60,1.88
17,180.0,PE,M,16,1.88
8,700.0,SP,M,29,1.88
9,1100.0,MG,M,26,1.88
4,850.0,BA,M,51,1.88
12,2200.0,RJ,M,58,1.88
3,1500.0,MG,M,45,1.88
9,790.0,CE,M,53,1.88
4,550.0,ES,M,38,1.88
10,2500.0,SP,M,83,1.88
11,250.0,PA,F,39,1.88
6,1500.0,TO,M,29,1.88
11,2200.0,SC,M,24,1.88
5,1300.0,SP,M,30,1.88
13,2000.0,SP,M,55,1.88
16,4500.0,RJ,F,32,1.88
7,1000.0,MG,M,46,1.88
4,1800.0,RJ,M,55,1.88
12,5000.0,PR,M,33,1.88
12,850.0,BA,F,29,1.88
1,2000.0,SC,M,52,1.88
16,2500.0,MG,F,49,1.88
16,5000.0,AP,F,48,1.88
1,788.0,SP,F,25,1.88
4,200.0,PA,F,46,1.88
9,788.0,AP,F,52,1.88
8,2000.0,CE,F,47,1.88
16,6000.0,PE,M,38,1.88
10,1500.0,GO,M,45,1.88
9,1200.0,PR,M,41,1.88
16,4000.0,RS,M,34,1.88
3,1400.0,MG,M,56,1.88
12,300.0,PE,F,43,1.88
12,1000.0,CE,M,28,1.88
12,2600.0,SP,M,40,1.88
1,15000.0,MG,M,42,1.88
7,2200.0,RS,M,38,1.88
12,2500.0,SP,M,36,1.88
6,1200.0,PR,F,56,1.88
12,2300.0,RJ,F,55,1.88
6,200.0,ES,F,30,1.88
5,1500.0,RS,M,43,1.88
12,3500.0,RJ,M,26,1.88
16,7000.0,MG,M,36,1.88
12,450.0,PR,F,56,1.88
12,2200.0,MT,F,29,1.88
12,788.0,RJ,M,47,1.88
7,1300.0,GO,M,31,1.88
14,788.0,PA,M,33,1.88
5,800.0,RJ,M,60,1.88
12,4060.0,ES,M,37,1.88
3,100.0,BA,F,51,1.88
16,5000.0,MG,M,59,1.88
5,900.0,PR,M,50,1.88
15,2100.0,PA,M,65,1.88
6,1000.0,GO,M,33,1.88
12,1200.0,AP,M,37,1.88
12,850.0,PA,M,26,1.88
5,600.0,AP,F,58,1.88
6,400.0,CE,F,56,1.88
9,2500.0,GO,M,22,1.88
12,3500.0,RS,M,59,1.88
11,2500.0,PR,M,55,1.88
9,2000.0,RJ,F,36,1.88
12,800.0,MG,F,37,1.88
7,788.0,RJ,M,56,1.88
6,580.0,BA,M,54,1.88
1,788.0,BA,M,32,1.88
5,1295.0,RS,M,45,1.88
12,1500.0,PB,F,41,1.88
5,500.0,GO,F,53,1.88
1,788.0,AP,M,32,1.88
3,800.0,AL,M,46,1.88
5,788.0,MG,F,52,1.88
11,300.0,AC,F,51,1.88
1,150.0,PR,F,68,1.88
1,1125.0,RO,M,55,1.88
12,860.0,PE,F,41,1.88
12,1300.0,SC,M,29,1.88
9,1600.0,GO,M,33,1.88
12,2500.0,SC,M,46,1.88
1,788.0,DF,F,30,1.88
16,3000.0,RS,M,36,1.88
16,4000.0,SC,M,52,1.88
1,788.0,RN,F,43,1.88
3,2800.0,CE,M,45,1.88
16,1200.0,AP,F,35,1.88
1,200.0,BA,F,57,1.88
8,1200.0,MG,M,48,1.88
6,1500.0,BA,M,60,1.88
12,1100.0,ES,M,32,1.88
16,10000.0,SE,M,63,1.88
12,1300.0,AP,M,39,1.88
7,1200.0,SP,M,63,1.88
12,1000.0,DF,M,34,1.88
12,2000.0,PR,M,36,1.88
5,1300.0,SP,M,62,1.88
9,750.0,SP,F,54,1.88
14,5000.0,SP,M,41,1.88
16,5000.0,RJ,M,68,1.88
15,800.0,RN,F,36,1.88
15,3500.0,PR,F,45,1.88
12,1730.0,RS,M,37,1.88
6,1800.0,RS,M,61,1.88
8,1800.0,SP,M,40,1.88
12,1000.0,PR,F,54,1.88
